,grupo_id,Initial_Liters,Final_Liters,Initial_mA,Final_mA,Consumed_Liters,label
3757,3757,298.0791661,343.4360342,5.770066,6.001047,45.3246701,Tank Refilling
3758,3758,349.2243279,358.6906301,6.042741,6.080673,5.9717319,Stable
3759,3759,366.4391684,354.3884015,6.132643,6.063458,-17.7415059,Toilet flushing
3760,3760,361.3596151,417.4299925,6.101033,6.450293,67.1012332,Tank Refilling
3761,3761,423.7292376,409.7441481,6.473915,6.419146,-6.2028743,Toilet flushing
3762,3762,421.1711012,355.0722208,6.449684,6.100204,-58.5561634,Taking a bath
3763,3763,360.3888702,328.0735691,6.128463,5.948857,-38.8260316,Taking a bath
3764,3764,329.9962857,217.6934033,5.97675,5.394949,-105.1151842,Washing clothes
3765,3765,225.9276886,261.6860013,5.42121,5.592672,26.680617,Tank Refilling
3766,3766,215.7737049,227.9544445,5.010986,5.096436,13.453056,Stable
3767,3767,221.4590381,228.6120524,5.06897,5.072021,5.454021,Stable
3768,3768,221.3885963,221.6727048,5.023193,5.026245,0.9485991,Stable
3769,3769,222.9427095,117.7995756,5.029297,4.452515,-98.2103492,Washing clothes
3770,3770,119.8439899,102.2254443,4.46167,4.379272,-9.719475,Toilet flushing
3771,3771,119.519019,101.5818801,4.437256,4.351807,-15.5288101,Toilet flushing
3772,3772,103.0510476,108.6810977,4.354858,4.400635,10.6945871,Stable
3773,3773,99.8663959,385.3667361,4.327393,5.987549,286.1776187,Tank Refilling
3774,3774,454.524731,727.7351501,6.402588,7.955933,268.5416687,Tank Refilling
3775,3775,735.2951375,730.95873,8.044434,7.977295,-8.0484546,Toilet flushing
3776,3776,640.0213996,577.821408,7.455444,7.086182,-59.9068802,Washing clothes
3777,3777,554.5817993,568.2167094,6.994629,7.046509,12.9547901,Stable
3778,3778,546.1633147,561.1909573,6.951904,6.991577,9.7722909,Stable
3779,3779,558.7835379,563.612168,6.997681,7.009888,0.9655163,Stable
3780,3780,549.9011668,546.2294609,6.967163,6.903076,-14.1508304,Toilet flushing
3781,3781,555.8414817,555.1538513,6.958008,6.970215,1.99453,Stable
3782,3782,533.0431717,463.1505744,6.842041,6.430054,-73.7920347,Washing clothes
3783,3783,458.7081912,439.65516,6.411743,6.30188,-18.0121558,Toilet flushing
3784,3784,453.2804868,445.1449389,6.37207,6.338501,-5.2897034,Toilet flushing
3785,3785,443.6630033,438.5913538,6.359863,6.307983,-7.1483195,Toilet flushing
3786,3786,438.5091132,437.9067571,6.317139,6.323242,4.5645412,Stable
3787,3787,448.0825073,464.7803235,6.375122,6.436157,13.3105775,Stable
3788,3788,461.3811483,457.1098797,6.433105,6.439209,0.7170643,Stable
3789,3789,466.2015947,464.2348727,6.47583,6.427002,-6.3037113,Toilet flushing
3790,3790,461.6161197,442.9238501,6.460571,6.350708,-15.0417738,Toilet flushing
3791,3791,431.3109126,335.4868029,6.237793,5.709839,-94.4692874,Washing clothes
3792,3792,334.9355324,334.8590663,5.685425,5.715942,4.6586484,Stable
3793,3793,332.6274801,473.9245924,5.67627,6.503296,138.2022466,Tank Refilling
3794,3794,415.1009175,334.1049309,6.185913,5.715942,-78.8746957,Washing clothes
3795,3795,205.6683733,153.3940707,4.974365,4.650879,-58.9334424,Taking a bath
3796,3796,148.117903,450.3545388,4.605103,6.347656,305.1412692,Tank Refilling
3797,3797,440.2843238,435.4415709,6.298828,6.274414,-5.6536572,Stable
3798,3798,429.6526054,438.8681675,6.262207,6.298828,5.0326041,Stable
3799,3799,431.6763096,413.26002,6.265259,6.12793,-20.8945803,Toilet flushing
3800,3800,247.2856042,248.4341838,5.166626,5.206299,1.8447483,Stable
3801,3801,237.7515783,240.6744739,5.166626,5.175781,-1.5595593,Stable
3802,3802,242.5570876,247.4509943,5.154419,5.200195,5.9292974,Stable
3803,3803,243.5808426,231.3780622,5.175781,5.075073,-16.748262,Toilet flushing
3804,3804,220.1494495,221.6571983,5.062866,5.072021,2.1116462,Stable
3805,3805,211.4975629,206.8857614,5.007935,4.986572,-0.4002984,Stable
3806,3806,220.1799264,200.9926448,5.026245,4.937744,-18.6361856,Toilet flushing
3807,3807,194.8944247,198.4331955,4.901123,4.882813,0.9371471,Stable
3808,3808,195.2904947,182.5757541,4.879761,4.840088,-11.4866105,Toilet flushing
3809,3809,192.7260287,173.8039247,4.849243,4.779053,-7.1593883,Toilet flushing
3810,3810,181.8352582,186.3969662,4.837036,4.837036,-0.2498085,Stable
3811,3811,174.3072893,173.09222,4.794312,4.788208,-3.1880281,Stable
3812,3812,167.4657053,152.9044756,4.721069,4.656982,-8.5531405,Toilet flushing
3813,3813,152.9711967,130.5282712,4.647827,4.528809,-20.522536,Toilet flushing
3814,3814,124.6078603,109.8006704,4.470825,4.403687,-8.9599909,Toilet flushing
3815,3815,117.4284302,91.2490822,4.434204,4.296875,-26.6716025,Toilet flushing
3816,3816,84.5045798,75.8997879,4.269409,4.223633,-8.3978733,Toilet flushing
3817,3817,76.0208914,308.3575985,4.208374,5.52063,223.7160236,Tank Refilling
3818,3818,389.5425087,718.5216317,5.990601,7.919312,332.2948935,Tank Refilling
3819,3819,718.1056696,727.3013594,7.940674,7.962036,7.1142849,Stable
3820,3820,740.2878335,722.7062825,8.035278,7.958984,-10.4994329,Toilet flushing
3821,3821,731.8217957,735.0212103,8.016968,8.023071,-3.9006002,Stable
3822,3822,737.3309342,727.9211156,8.023071,7.992554,-9.0215198,Toilet flushing
3823,3823,729.3631544,729.2317452,8.004761,7.992554,-2.4066071,Stable
3824,3824,732.2091843,677.5256372,7.995605,7.669067,-52.1369703,Taking a bath
3825,3825,620.4966243,620.1836361,7.373047,7.376099,-3.3163449,Stable
3826,3826,608.7985409,619.031062,7.305908,7.324219,3.8924889,Stable
3827,3827,613.7315106,592.9473416,7.30896,7.199097,-17.0298193,Toilet flushing
3828,3828,588.0449745,587.1887003,7.192993,7.144165,-4.6355187,Toilet flushing
3829,3829,589.5707254,514.074562,7.15332,6.732178,-68.9514882,Washing clothes
3830,3830,507.0919557,505.1130665,6.707764,6.692505,0.1478593,Stable
3831,3831,494.181876,494.2753823,6.628418,6.646729,7.1558974,Stable
3832,3832,499.3004636,490.2980219,6.640625,6.57959,-8.6975039,Toilet flushing
3833,3833,173.4272217,153.0311774,4.763794,4.638672,-21.4938939,Toilet flushing
